idiom,sentence
all hell broke loose," Output: i

The expression ""all hell broke loose"" is being used figuratively in the sentence. It is an idiomatic expression that means a situation became chaotic or out of control, but it does not mean that hell, as a physical place, actually broke loose."
all hell broke loose," i

The expression ""all hell broke loose"" is being used figuratively in the sentence to describe a chaotic and uncontrollable situation. It does not imply a literal or physical breaking loose of hell or any supernatural entity, but rather a metaphorical representation of the severity of the events that occurred in September. Therefore, the correct answer is ""i"" for figurative."
all hell broke loose," Output: i

The expression ""all hell broke loose"" is being used figuratively in the sentence. It is an idiomatic expression that means a situation became chaotic or violent, but it does not mean that hell literally broke loose."
off the hook," i

The expression ""off the hook"" is being used figuratively in the sentence you provided. It means that the Spectator is avoiding responsibility or blame by shifting the focus to Malthus' idea that the poor should not be helped because they would supposedly drag others down by overbreeding. The phrase ""off the hook"" is often used to describe a situation where someone is avoiding consequences or responsibility, so it is being used figuratively in this context."
off the hook," Output: i

The expression ""off the hook"" is being used figuratively in the sentence. It means that the person is no longer in a difficult or dangerous situation, and is now free from obligations or responsibilities. The phrase is not being used literally to mean that the person was actually hooked or attached to something."
off the hook," Output: i

The expression ""off the hook"" is being used figuratively in the sentence ""I must have left it off the hook this morning."" The phrase ""off the hook"" means to be free from a difficult or dangerous situation, and it is not being used to describe a physical hook. Therefore, the answer is ""i"" for figurative."
against the grain," Output: i

The expression ""against the grain"" is being used figuratively in the sentence. It means to go against one's natural inclination or instinct, which is different from its literal meaning of moving against the direction of the fibers or grain of a material."
against the grain," Output: i

The expression ""against the grain"" is being used figuratively in the sentence you provided. It means to go against the natural or usual way of doing something, or to oppose the prevailing views or forces. In this context, the speaker is using the phrase to caution against resisting or fighting against something that is inevitable or unavoidable, rather than referring to a physical object or action."
play with fire," Output: i

The expression ""play with fire"" is being used figuratively in the sentence you provided. It means to take risks or engage in dangerous activities, especially in a reckless or irresponsible manner. In this context, the Unionists saw the war as a necessary risk to achieve their goals, but it did not change their perception of themselves."
play with fire," Output: l

The expression 'play with fire' is being used literally in the sentence you provided, as it describes a situation where the person is actually playing with fire, i.e., fireworks are attached to the back of their jacket and are exploding."
play with fire," Output: i

The expression ""play with fire"" is being used figuratively in the sentence. The speaker is using it to refer to engaging in a risky or dangerous activity, rather than literally playing with fire."
make a killing," output: i

The expression ""make a killing"" is being used figuratively in the sentence. It means to make a lot of money or profit, and it is not meant to be taken literally."
make a killing," Output: i

The expression ""make a killing"" is being used figuratively in the sentence. It means to make a lot of money or be very successful, but it does not imply any literal harm or violence."
make a killing," Output: i

The expression ""make a killing"" is being used figuratively in the sentence. It means to make a large profit or gain a significant advantage, rather than actually killing someone."
carry the can," Output: i

The expression ""carry the can"" is being used figuratively in the sentence ""In Tory demonology they will always carry the can."" It means to take responsibility or be blamed for something, rather than physically carrying a can."
carry the can," Output: i

The expression ""carry the can"" is being used figuratively in the sentence. It means to take responsibility or be held accountable for something, rather than carrying a physical can."
carry the can," Output: i

The expression ""carry the can"" is being used figuratively in the sentence you provided. It means to take the blame or responsibility for something, especially for something that is not one's fault. In this context, it suggests that Dirk Coetzee was being set up to take the fall for something that he did not do."
in the doghouse," Output: i

The expression ""in the doghouse"" is being used figuratively in the sentence. It is a common idiom that means to be in a difficult or unpopular situation, similar to how a dog might be in a doghouse or kennel. The sentence suggests that the best time to buy a share is when everyone is advising to sell, indicating that the share is not in a favorable position, hence the use of the figurative expression."
in the doghouse," Output: i

The expression ""in the doghouse"" is being used figuratively in the sentence. It is a common idiom that means to be in trouble or disfavor, rather than a literal reference to a doghouse."
in the doghouse," Output: i

The expression ""in the doghouse"" is being used figuratively in the sentence. It is a common idiom that means to be in trouble or disfavor, and is not meant to be taken literally as a physical location."
behind the scenes," Output: i

The expression ""behind the scenes"" is being used figuratively in the sentence you provided. It is not referring to a physical location, but rather to the fact that the women are not aware of the true nature of the contest and the fact that one of their number is a man with a secret mission. Therefore, the use of the phrase is figurative rather than literal."
behind the scenes," Output: i

The expression ""behind the scenes"" is being used figuratively in the sentence you provided. It refers to gaining access to an area that is not typically accessible to the public, such as the archives, in order to learn about the documents and methods used for preserving and caring for them. The phrase suggests that the group is being given a special tour or access to a restricted area, rather than literally going behind the scenes of a performance or production."
behind the scenes," Output: i

The expression ""behind the scenes"" is being used figuratively in the sentence. It is not referring to a literal location or physical action, but rather to the idea that the person is usually working secretly or discreetly, pulling the strings from a hidden position."
go to the wall," Output: i

The expression ""go to the wall"" is being used figuratively in the sentence you provided. It means to fail or go bankrupt, and it is not meant to be taken literally. Therefore, the answer is ""i"" for figurative."
go to the wall," Output: i

The expression ""go to the wall"" is being used figuratively in the sentence. It means to fail or be defeated, especially in a competition or conflict. It is not meant to be taken literally, as in physically going to a wall."
go to the wall," Output: i

The expression ""go to the wall"" is being used figuratively in the sentence you provided. It means to fail or go bankrupt, and it is not meant to be taken literally."
see the light of day," output: i

The expression ""see the light of day"" is being used figuratively in the sentence you provided. It means that the books are unlikely to be published or made available to the public again. The phrase is not being used literally to mean that the books will not be able to see sunlight."
see the light of day," i

The expression ""see the light of day"" is being used figuratively in the sentence you provided. It means that the piece will never be published or made public, rather than literally referring to the physical act of seeing light."
under the weather," Output: i

The expression ""under the weather"" is being used figuratively in the sentence. It is a common idiom that means feeling unwell or ill, but it is not meant to be taken literally as a reference to the weather."
under the weather," Output: i

The expression ""under the weather"" is being used figuratively in the sentence. It is a common idiom that means feeling unwell or ill, but it is not meant to be taken literally as being under the weather conditions."
under the weather," Output: i

The expression ""under the weather"" is being used figuratively in the sentence. It means that the person is not feeling well or is in a bad mood, and it is not related to the weather conditions."
jump through hoops," Output: i

The expression ""jump through hoops"" is being used figuratively in the sentence. It means to go through a lot of trouble or effort to achieve something, and is not meant to be taken literally."
jump through hoops," Output: i

The expression ""jump through hoops"" is being used figuratively in the sentence. It means to go through a lot of trouble or effort to achieve something, but it does not mean literally jumping through hoops."
jump through hoops," Output: i

The expression ""jump through hoops"" is being used figuratively in the sentence to describe politicians' tendency to avoid using the word ""tax"" by creating a different system that achieves similar results. The phrase suggests that politicians are willing to go to great lengths or perform unnecessary tasks to avoid using the word ""tax,"" which is often associated with negative connotations. Therefore, the use of ""jump through hoops"" is figurative, and the answer is ""i."""
on the horn," Output: i

The expression ""on the horns of a dilemma"" is a figurative phrase used to describe a difficult situation where one is faced with two conflicting options. The phrase is derived from the idea of being caught between the horns of a bull, where any move could lead to harm. In this context, the phrase is used figuratively to describe the profession's difficult choice between pursuing scientific advance and maintaining moral principles. Therefore, the answer is ""i"" for figurative."
on the horn," Output: i

The expression ""on the horn"" is being used figuratively in the sentence you provided. It is a common idiomatic expression that means to contact someone or get in touch with them, especially by phone. In this context, the speaker is asking Beeby to get in touch with the Guinness Book of Records, not to actually use a horn to communicate with them. Therefore, the answer is ""i"" for figurative."
to the bone," output: i

The expression ""to the bone"" is being used figuratively in the sentence you provided. It is an idiomatic expression that means something is extremely painful or unpleasant, and is not meant to be taken literally."
to the bone," Output: i

The expression ""to the bone"" is being used figuratively in the sentence ""We are cut right to the bone."" The phrase is used to describe a situation where something is being reduced or cut back to the bare minimum, rather than referring to a physical cutting or harm to a person or object."
push the envelope," Output: i

The expression ""push the envelope"" is being used figuratively in the sentence you provided. It means to challenge the limits of what is considered acceptable or possible, to take risks, or to innovate. The phrase is often used to describe efforts to advance a field, industry, or personal endeavor by experimenting with new ideas or approaches. In this context, ""push the envelope"" is not meant to be taken literally, and it does not refer to physically pushing an envelope or any other object."
push the envelope," Output: i

The expression ""push the envelope"" is being used figuratively in the given sentence. It means to take risks or challenge the limits of what is considered safe or acceptable, rather than literally pushing an envelope."
