idiom,cleaned_text
all hell broke loose,l
all hell broke loose,l
all hell broke loose,i
off the hook,i
off the hook,l
off the hook,l
against the grain,l
against the grain,l
play with fire,l
play with fire,i
play with fire,l
make a killing,i
make a killing,i
make a killing,i
carry the can,u
carry the can,l
carry the can,l
in the doghouse,i
in the doghouse,l
in the doghouse,i
behind the scenes,l
behind the scenes,l
behind the scenes,u
go to the wall,i
go to the wall,l
go to the wall,i
see the light of day,u
see the light of day,l
under the weather,i
under the weather,i
under the weather,i
jump through hoops,i
jump through hoops,l
jump through hoops,l
on the horn,l
on the horn,l
to the bone,l
to the bone,l
push the envelope,i
push the envelope,u
look on the bright side,i
look on the bright side,i
up to here,l
up to here,l
up to here,l
night and day,i
night and day,l
head for the hills,i
head for the hills,u
head for the hills,i
pass the buck,i
pass the buck,i
rise from the ashes,i
rise from the ashes,i
rise from the ashes,l
meat and potatoes,l
meat and potatoes,l
meat and potatoes,l
in bed with,i
in bed with,i
in bed with,l
in the pink,i
in the pink,i
in the pink,i
go to town,l
go to town,u
go to town,i
heart of gold,i
heart of gold,i
heart of gold,i
par for the course,l
par for the course,i
par for the course,l
out of line,l
out of line,i
out of line,l
stay the course,i
stay the course,i
stay the course,l
smoke and mirrors,i
smoke and mirrors,u
get to the bottom of,l
get to the bottom of,i
get to the bottom of,l
by the book,i
by the book,l
in your face,i
in your face,l
in your face,i
in the black,i
in the black,i
in the black,l
hit the nail on the head,i
hit the nail on the head,i
in the driving seat,i
in the driving seat,i
in the driving seat,l
join the club,l
join the club,i
join the club,i
walk the plank,l
walk the plank,l
eat humble pie,l
eat humble pie,i
eat humble pie,i
up the river,l
up the river,l
up the river,l
circle the wagons,l
look the part,i
look the part,i
look the part,l
moment of truth,l
all bets are off,l
all bets are off,l
knock someone's socks off,u
on the side of the angels,i
on the side of the angels,i
on the side of the angels,i
jump on the bandwagon,l
jump on the bandwagon,i
jump on the bandwagon,i
turn the other cheek,l
raise the roof,u
raise the roof,l
raise the roof,l
do the right thing,l
do the right thing,i
do the right thing,i
on the square,l
on the square,l
on the square,l
pick up the pieces,i
pick up the pieces,i
pick up the pieces,i
touch and go,i
off and running,i
off and running,i
off and running,i
horses for courses,i
horses for courses,i
horses for courses,i
wipe the slate clean,i
wipe the slate clean,u
wipe the slate clean,i
hit the jackpot,l
hit the jackpot,i
hit the jackpot,l
round the bend,i
round the bend,i
round the bend,i
go for the jugular,i
go for the jugular,i
go for the jugular,i
nip and tuck,i
nip and tuck,l
nip and tuck,l
throw the baby out with the bathwater,i
throw the baby out with the bathwater,u
out of order,i
out of order,u
out of order,l
muddy the waters,l
muddy the waters,i
muddy the waters,i
move the goalposts,i
move the goalposts,i
move the goalposts,l
hair of the dog,i
hair of the dog,i
hair of the dog,i
have someone's number,l
neither here nor there,i
neither here nor there,i
neither here nor there,i
out of the woods,l
out of the woods,i
out of the woods,i
sit on the fence,i
sit on the fence,l
sit on the fence,u
keep the peace,l
keep the peace,l
six feet under,l
six feet under,l
six feet under,l
dead and buried,l
dead and buried,l
dead and buried,l
down in the dumps,l
down in the dumps,i
down in the dumps,i
know the score,i
know the score,l
know the score,l
oil and water,l
oil and water,i
oil and water,l
add fuel to the fire,l
add fuel to the fire,i
add fuel to the fire,i
power behind the throne,i
power behind the throne,l
power behind the throne,i
blood and guts,l
blood and guts,l
blood and guts,l
strike while the iron is hot,l
strike while the iron is hot,i
on the hop,i
on the hop,i
on the hop,i
all over the map,i
all over the map,i
all over the map,i
let the cat out of the bag,i
let the cat out of the bag,i
let the cat out of the bag,i
blaze a trail,i
blaze a trail,i
blaze a trail,i
on the bounce,l
on the bounce,l
on the bounce,i
at a canter,l
at a canter,l
at a canter,i
out to lunch,i
out to lunch,i
out to lunch,l
twist someone's arm,i
twist someone's arm,i
twist someone's arm,i
swings and roundabouts,l
swings and roundabouts,u
swings and roundabouts,i
on the ball,i
on the ball,i
rob Peter to pay Paul,l
rob Peter to pay Paul,i
rob Peter to pay Paul,i
ring a bell,i
ring a bell,i
ring a bell,i
to die for,l
to die for,i
to die for,i
everything but the kitchen sink,l
spend a penny,l
spend a penny,u
spend a penny,l
in black and white,i
in black and white,i
in black and white,i
doom and gloom,i
doom and gloom,i
doom and gloom,i
keep tabs on,i
keep tabs on,l
keep tabs on,i
get the picture,l
get the picture,l
get the picture,l
look the other way,l
look the other way,i
look the other way,i
burst someone's bubble,i
burst someone's bubble,i
burst someone's bubble,l
fall in line,l
fall in line,l
fall in line,l
water under the bridge,u
water under the bridge,i
water under the bridge,i
keep a lid on,l
keep a lid on,l
keep a lid on,l
down the drain,l
down the drain,l
down the drain,u
make the cut,l
make the cut,i
make the cut,l
free and easy,l
free and easy,l
free and easy,i
with a vengeance,i
cut both ways,l
cut both ways,l
cut both ways,i
sing the praises of,i
sing the praises of,i
sing the praises of,i
hold the line,i
pull the plug,l
pull the plug,i
pull the plug,l
make a move,l
make a move,l
make a move,i
make a meal of,l
make a meal of,l
make a meal of,i
the icing on the cake,l
the icing on the cake,i
the icing on the cake,i
in the red,u
in the red,l
in the red,i
feel the pinch,i
feel the pinch,l
feel the pinch,l
under the microscope,l
under the microscope,l
under the microscope,l
pay the piper,l
pay the piper,u
pay the piper,i
on the trot,l
on the trot,l
on the trot,i
peaches and cream,l
peaches and cream,i
toe the line,l
toe the line,l
grasp the nettle,l
grasp the nettle,i
grasp the nettle,i
high and mighty,i
high and mighty,i
high and mighty,i
in the hole,u
in the hole,l
in the hole,u
take the fall,l
take the fall,l
take the fall,l
in the offing,i
in the offing,i
in the offing,i
ride roughshod over,i
ride roughshod over,i
ride roughshod over,i
crash and burn,i
